SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
29063,"75245","1","Star Wars","Seasonal","2019","Star Wars Advent Calendar",9,280,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/75245-1.jpg",4458,867
29346,"75246","1","Star Wars","Episode IV","2019","Death Star Cannon",2,159,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75246-1.jpg",2941,1078
28410,"75247","1","Star Wars","4 Plus","2019","Rebel A-wing Starfighter",2,62,11.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75247-1.jpg",1812,795
29347,"75248","1","Star Wars","The Rise of Skywalker","2019","Resistance A-wing Starfighter",2,269,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75248-1.jpg",4162,1414
29352,"75249","1","Star Wars","The Rise of Skywalker","2019","Resistance Y-wing Starfighter",5,578,59.99,69.99,89.99,69.99,"https://images.brickset.com/sets/images/75249-1.jpg",3423,1666
29353,"75250","1","Star Wars","The Rise of Skywalker","2019","Pasaana Speeder Chase",4,373,44.99,39.99,49.99,49.99,"https://images.brickset.com/sets/images/75250-1.jpg",2533,1272
28331,"75251","1","Star Wars","Miscellaneous","2019","Darth Vader's Castle",6,1060,119.99,129.99,149.99,129.99,"https://images.brickset.com/sets/images/75251-1.jpg",3725,2697
28594,"75252","1","Star Wars","Ultimate Collector Series","2019","Imperial Star Destroyer",2,4784,649.99,699.99,849.99,699.99,"https://images.brickset.com/sets/images/75252-1.jpg",1819,3954
29296,"75253","1","Star Wars","Boost","2019","Droid Commander",,1177,179.99,199.99,249.99,199.99,"https://images.brickset.com/sets/images/75253-1.jpg",1109,1377
29354,"75254","1","Star Wars","The Mandalorian","2019","AT-ST Raider",4,540,49.99,49.99,69.99,59.99,"https://images.brickset.com/sets/images/75254-1.jpg",4810,2075
29355,"75255","1","Star Wars","Miscellaneous","2019","Yoda",1,1771,89.99,99.99,139.99,99.99,"https://images.brickset.com/sets/images/75255-1.jpg",3497,1401
29356,"75256","1","Star Wars","The Rise of Skywalker","2019","Kylo Ren's Shuttle",6,1005,99.99,129.99,159.99,119.99,"https://images.brickset.com/sets/images/75256-1.jpg",3005,2314
29357,"75257","1","Star Wars","The Rise of Skywalker","2019","Millennium Falcon",7,1351,149.99,159.99,179.99,159.99,"https://images.brickset.com/sets/images/75257-1.jpg",2154,2136
29029,"75258","1","Star Wars","Episode I","2019","Anakin's Podracer – 20th Anniversary Edition",3,279,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75258-1.jpg",7787,1667
29028,"75259","1","Star Wars","Episode V","2019","Snowspeeder – 20th Anniversary Edition",4,309,34.99,39.99,49.99,39.99,"https://images.brickset.com/sets/images/75259-1.jpg",7357,2030
